,Unnamed: 0,idx_orig,z,ra,dec,spec_selection
6,6,13,0.0572467892507165,97.11983121880796,-12.91052756855714,1
9,9,17,0.0679379013827501,126.3814732584018,-2.2575614941806954,1
23,23,42,0.0665709912385184,38.424019997229,6.093619736976207,1
28,28,48,0.0823892512188717,235.6866885213488,8.343637930309852,1
30,30,51,0.0495960482154519,318.9610579191505,15.62726397636188,1
35,35,56,0.0944470031545012,357.4280685736512,24.59347182513264,1
37,37,62,0.0680922733842136,36.90534122769894,5.810559851777162,1
41,41,76,0.0519581813702744,15.329247612578785,20.378930614169008,1
42,42,77,0.0719694501034206,204.2770640330852,6.344051195852841,1
49,49,85,0.0411903576183566,323.09324025329533,30.57296490688912,1
52,52,91,0.0256897052427607,145.96891322048165,-20.21771910925003,1
64,64,124,0.1310675652033767,115.15118135227958,47.44912266103998,1
75,75,145,0.1050632399098396,322.61951206821203,3.459438086860541,1
85,85,158,0.0579318787740034,305.52372059443115,3.791519002764733,1
88,88,165,0.1318467317185984,262.3811187050323,19.247946925842864,1
94,94,173,0.116853433355948,257.08582639145186,79.27677244877377,1
95,95,174,0.1388194275068515,230.52439610303136,42.65162078551136,1
101,101,183,0.0808630160003137,248.96077897144468,36.85103146163885,1
104,104,188,0.0718064515016085,200.31408023313213,8.282339417678672,1
109,109,200,0.0921940156799064,215.18451418072092,23.141435289670827,1
117,117,216,0.1450742457174898,146.75230640384746,-14.722876676525695,1
119,119,219,0.0518662724401067,247.19844325641344,9.18553480957039,1
122,122,222,0.0954676160770237,359.6989046981235,15.380204424901228,1
125,125,229,0.1048062775015425,80.18611909400572,56.53084922959936,1
128,128,232,0.0540081728861111,207.9959533349716,46.80014107571676,1
134,134,241,0.0784891275942839,227.26075852040665,16.110697202877823,1
136,136,243,0.0937859863754262,73.79929794970849,-14.07844511989806,1
140,140,250,0.04795859886532,279.0455880168938,51.82707500553479,1
143,143,255,0.0797233483047196,130.21248509789314,8.712339996040285,1
146,146,259,0.0743244655952337,77.09521604426507,-13.889132393171511,1
147,147,260,0.0792049188419096,315.2094432926974,0.826823467555715,1
155,155,272,0.0673277146570057,142.17870402040674,4.795429685851941,1
156,156,274,0.0544682301487979,160.99636289066495,63.46003185214428,1
157,157,275,0.0446775869365105,191.354043520784,-4.110431037184907,1
159,159,277,0.0582869475025516,209.75116623865895,68.5033632252733,1
171,171,300,0.0896378417278303,276.9889188016894,46.090314182382826,1
178,178,312,0.0730250859064536,273.01082442231,40.654424777881474,1
181,181,321,0.0602461767351111,68.92636677304432,-10.58641089128742,1
183,183,324,0.0430048338033483,229.6583017747949,14.485067497726652,1
185,185,327,0.0693308682653278,339.8410015421224,-18.23218598921094,1
186,186,328,0.0448507731455936,139.80607315066632,10.768788547048018,1
193,193,341,0.0755646989027531,283.2952032090537,39.125919741476565,1
195,195,346,0.0945165147477754,20.057275294229875,9.605816645506367,1
196,196,347,0.0885653826412621,138.75022854986446,-13.944908114020494,1
198,198,352,0.1265696475089091,154.75126543983828,19.202714123883258,1
201,201,358,0.0538029473109178,87.10834240565235,44.917071742597095,1
202,202,361,0.0299993747482413,303.17130274127607,26.825920714679327,1
214,214,383,0.0505454349433766,218.56282929192955,33.72452333917239,1
215,215,384,0.0399793823587737,181.27733643750528,55.80589571842673,1
216,216,385,0.0593680777822006,233.13403947165568,30.071450496068284,1
227,227,408,0.0676192774422313,293.89363438732,53.99987594008175,1
230,230,413,0.0745416810381398,216.89159979529916,34.2291157936098,1
231,231,414,0.0909391023509851,194.94881325629447,77.58873409987362,1
236,236,421,0.0904038463321964,292.1569864967404,71.639151075719,1
247,247,443,0.0931894512275287,158.12490427541357,21.21674394356016,1
249,249,447,0.0783021001818516,306.06094239049816,-15.91637057785356,1
251,251,450,0.0799982496672939,204.12552267873292,17.640274742443037,1
253,253,453,0.0972590762632649,33.617508085347644,-5.916538212568235,1
254,254,454,0.0888734525756997,85.91365258899425,-20.219436827937717,1
262,262,469,0.1453203770559765,53.46429967785775,29.466410942541213,1
270,270,483,0.1346893836102057,142.9057903450723,61.40871119822953,1
272,272,488,0.1018962234656314,286.3375762495821,28.66375357513919,1
273,273,489,0.1378843932181398,350.15665448403024,4.663080628379922,1
276,276,494,0.0851839185023047,232.06600609702824,13.45079658868644,1
277,277,495,0.1229276102920235,56.74462052565414,-10.09197599741194,1
280,280,505,0.0518339790789676,335.3819254163036,-4.705703570908812,1
281,281,510,0.0592051672847247,209.7594828594963,38.79236270545477,1
