,Unnamed: 0,idx_orig,z,ra,dec,spec_selection
0,0,3,0.0550861429111124,73.87102939780812,-0.368531933360132,1
2,2,7,0.1039303482831926,221.31682526242844,13.020786238543288,1
3,3,8,0.0830489163501203,142.89603293426816,48.21041652635069,1
7,7,14,0.080570155618813,177.55892897447922,-13.655999288601834,1
14,14,27,0.064158586401582,120.58869190643796,-0.6847581792919339,1
15,15,28,0.094248892702564,130.0798839777985,45.11240741381659,1
18,18,37,0.1058467069378962,62.36325156139931,-6.163753785775422,1
21,21,41,0.0889974119689432,129.10741509519187,4.334279413719791,1
28,28,53,0.043143637049562,220.3805230818326,64.5529280577976,1
30,30,57,0.0549226611139097,226.1366044332192,-21.742765375080143,1
32,32,62,0.0733608265694894,156.61643418093126,7.918299854908398,1
43,43,80,0.0431485709384815,1.2095163192420877,-13.757345626478156,1
47,47,89,0.0374579177973152,14.496276642843275,-9.154692283664412,1
49,49,93,0.0556827592399001,151.92762314487683,6.910295499905453,1
51,51,97,0.1409328895424696,89.43368142541881,-0.9150733912452134,1
54,54,101,0.0670895264535379,217.1363586221429,-3.1135404789010823,1
60,60,112,0.0897087411610985,43.198470748376224,-8.563583797483004,1
62,62,115,0.0344317391338887,312.4811452272435,13.02139381288382,1
65,65,121,0.0483410329684216,123.0679984080113,57.45295635981434,1
69,69,130,0.0267542765959297,347.252019993295,-27.726097434162043,1
70,70,131,0.048963147481044,235.44833695601747,14.802407738055658,1
72,72,133,0.0740460584439392,23.29666507983874,36.13598161201826,1
85,85,172,0.1013423372123933,310.0333479975331,-8.87914084320746,1
86,86,173,0.1145774367904716,82.94897634449397,10.908083872314656,1
87,87,174,0.0784080235727956,244.96860652367045,-2.0671280904000437,1
89,89,182,0.0864729338812707,191.41511297989217,63.46297493543901,1
92,92,186,0.0791257740107383,331.10355213999605,2.4349942000015465,1
95,95,194,0.1405162185756268,49.89138994693165,14.47443492203148,1
100,100,201,0.0428135809157363,4.756278105144816,77.63369424213056,1
109,109,222,0.0809572358244482,232.03504301157315,78.982927926988,1
110,110,223,0.0941457711634699,144.005526451101,53.4556769026706,1
122,122,242,0.0689659656563327,164.87459653911014,9.366250307193813,1
125,125,253,0.107963926368082,73.1743243147043,-21.78960963110748,1
126,126,259,0.0881325764492799,116.18474091034376,22.07625076605279,1
129,129,265,0.0549216770039581,70.91725857101228,-0.9972155860380102,1
133,133,270,0.0695406243283408,327.00223133881656,8.325528076794424,1
134,134,271,0.0554217143665261,198.9800884285777,15.683499008634268,1
137,137,279,0.1148231760281188,251.94315692056463,33.9943240216574,1
139,139,281,0.0501585623957631,100.49401416897533,71.8680050418113,1
140,140,282,0.0510253410518054,357.7297664999101,-10.857185433061678,1
142,142,284,0.0528424168625583,226.45920508629143,29.269954531656648,1
145,145,292,0.1110709767834635,71.3119973894015,68.28860375258014,1
148,148,296,0.0956516756866206,291.49071911631165,44.10802334458231,1
154,154,305,0.0828364157597274,284.3714325269969,61.56043667513512,1
157,157,313,0.0575390886828469,11.796765987265676,35.572037309073714,1
160,160,318,0.0955002657797629,328.59250079682226,-26.334472907416103,1
167,167,338,0.0798922742153456,256.89582446162075,52.1393343439323,1
173,173,351,0.0694512007373098,209.05031675469849,15.285353885059468,1
175,175,353,0.0750352050482575,243.43600215718965,2.762013792415822,1
176,176,356,0.1234417507962765,24.4989888650332,39.43451309483063,1
177,177,357,0.1333035806172725,145.37034075949518,-13.709737524366217,1
179,179,365,0.0634336197671686,339.79293080096454,17.89150194525995,1
180,180,367,0.0736203119124136,59.0491223115301,-15.56841837607202,1
182,182,379,0.0891658418972099,39.93790053476352,63.74756073164598,1
187,187,388,0.0777009752427559,264.0764007988538,21.17778404493661,1
191,191,398,0.064365049785176,331.3717873227355,40.815389796852514,1
195,195,411,0.0963575805469947,31.426947365155247,26.244487744533465,1
196,196,414,0.0523231762937546,323.16866172628045,-9.6955221445261,1
197,197,415,0.1302138838830451,130.33504339159737,6.135271151193891,1
199,199,419,0.0442451753177588,102.83797898054809,73.71126093249771,1
200,200,421,0.0776340936580728,330.2195721672235,24.503026495599222,1
203,203,424,0.0725785137294616,217.63275549707527,-24.73159493119343,1
206,206,433,0.0400724353757069,191.04906111360864,-2.0722295596078437,1
210,210,438,0.126767187561486,240.85599876514257,8.398116989209951,1
215,215,446,0.0452907079017054,214.3800354808414,2.310015864451525,1
224,224,466,0.0820318811992694,288.23468468791845,-13.428447692128913,1
239,239,488,0.038401624273519,294.50119886542694,0.4181590212995349,1
244,244,496,0.0653017217417742,41.92470124679219,8.340120940570475,1
247,247,502,0.0543690484569711,5.147448028834858,-19.35220433825191,1
248,248,504,0.1444481511531314,180.9330136547668,50.94496672194986,1
252,252,509,0.0546958160737343,216.72190912377823,20.67694761393388,1
254,254,511,0.1235275292713923,122.33239348975388,21.62061118968205,1
258,258,517,0.0790998884733451,238.7155231421952,47.33791654261299,1
264,264,536,0.040103188493035,189.55597323625616,25.14666981722054,1
268,268,540,0.1057815030217103,298.14971308512065,-18.624446184223338,1
276,276,553,0.0483223399531953,126.5440007534483,42.56546900061631,1
278,278,555,0.1462293087716654,146.25953486144263,17.428710104246083,1
282,282,559,0.0968681528658431,317.1691619410235,14.67259754784618,1
285,285,567,0.1026344087742809,226.09193982074177,35.889658679301256,1
299,299,586,0.0591658933022879,296.12419165980657,40.85440336238665,1
301,301,588,0.083219083912132,209.55353756141037,4.760671618578548,1
305,305,593,0.0378514089680998,308.7712641648794,7.019087593789831,1
309,309,602,0.0549354708961358,256.52206735961107,36.08859091134163,1
311,311,607,0.1219786922598336,286.2134477246252,67.80069619769877,1
312,312,611,0.1088129006765965,85.38987112873868,11.169989150007863,1
325,325,639,0.0896422579320235,106.9423943662746,44.46080184978936,1
328,328,643,0.0831240686827191,226.3287706261622,42.29122759952384,1
329,329,650,0.0599395414106298,166.48210268783828,46.46418956343177,1
331,331,654,0.0975332603853554,271.58365106488856,7.092368117867014,1
332,332,657,0.0966944787968399,340.4600406169752,13.948706296715471,1
333,333,659,0.1265305851521211,12.859348431732496,15.718708860039024,1
335,335,664,0.0475776719464446,148.5336143292817,-14.706671139366591,1
337,337,668,0.0693569442152382,198.68024811579824,65.07393079433174,1
339,339,671,0.063241551293382,282.9550904820432,65.0956075352591,1
346,346,689,0.0934522328587287,69.06911908007909,-0.1305085179336399,1
347,347,691,0.0648799089949618,158.26269773858422,2.9718497242249065,1
361,361,721,0.0542441519307793,113.56228890631292,53.53232107549529,1
369,369,737,0.0652178216911039,156.42363977834603,-5.225852740575022,1
370,370,740,0.0883532224575062,114.62103900945334,57.69069931070292,1
371,371,741,0.1197013676411144,334.5180831004277,36.70902642574755,1
