Mag-,Mag+,Completeness,Cum_Complete,Eff,Eff-,Eff+
15.50,15.60,1.00000,1.00000,0.969165,2.48130,0.264063
15.60,15.70,1.00000,1.00000,0.633080,1.85007,0.130556
15.70,15.80,1.00000,1.00000,0.367593,1.32793,0.0445174
15.80,15.90,1.00000,1.00000,0.640321,1.63938,0.174465
15.90,16.00,1.00000,1.00000,0.278848,1.00734,0.0337699
16.00,16.10,1.00000,1.00000,0.728600,1.58585,0.267383
16.10,16.20,1.00000,1.00000,1.05764,1.94503,0.507179
16.20,16.30,1.00000,1.00000,1.01328,1.81304,0.505827
16.30,16.40,1.00000,1.00000,1.20345,1.98492,0.673565
16.40,16.50,1.00000,1.00000,1.11804,1.81563,0.639056
16.50,16.60,1.00000,1.00000,0.912913,1.50571,0.510951
16.60,16.70,1.00000,1.00000,1.16616,1.76558,0.730828
16.70,16.80,1.00000,1.00000,0.738682,1.19957,0.422221
16.80,16.90,1.00000,1.00000,1.32694,1.77969,0.874201
16.90,17.00,1.00000,1.00000,1.22576,1.63185,0.819665
17.00,17.10,1.00000,1.00000,1.22011,1.59822,0.841992
17.10,17.20,1.00000,1.00000,1.22207,1.57523,0.868906
17.20,17.30,1.00000,1.00000,0.832991,1.10510,0.560880
17.30,17.40,0.948718,0.994580,0.785965,1.03264,0.539289
17.40,17.50,0.963636,0.990566,0.965383,1.22052,0.710246
17.50,17.60,0.980000,0.989451,0.764378,0.976252,0.552503
17.60,17.70,0.983051,0.988743,0.785577,0.986033,0.585121
17.70,17.80,0.950000,0.983687,0.927743,1.13104,0.724442
17.80,17.90,0.972973,0.982044,1.12114,1.32972,0.912572
17.90,18.00,0.956140,0.978520,1.00286,1.18696,0.818767
18.00,18.10,0.916667,0.970103,1.01137,1.18391,0.838838
18.10,18.20,0.942675,0.966282,1.04770,1.21159,0.883812
18.20,18.30,0.893750,0.957265,0.929946,1.07404,0.785849
18.30,18.40,0.903226,0.950441,0.941567,1.07688,0.806251
18.40,18.50,0.912371,0.946011,0.855340,0.975703,0.734977
18.50,18.60,0.798283,0.927895,0.894734,1.00962,0.779847
18.60,18.70,0.696203,0.894856,1.05688,1.17341,0.940346
18.70,18.80,0.525157,0.848461,0.926328,1.02814,0.824514
18.80,18.90,0.485955,0.803806,0.903210,0.997035,0.809385
18.90,19.00,0.448649,0.763497,0.817596,0.900906,0.734287
19.00,19.10,-NaN,0.763497,0.00000,0.00709788,0.00000
