Sim,Method,Mean,std
0,clustering,0.047172665224634966,0.33499277327380445
1,clustering,0.005410986225682555,0.28654491088653844
2,clustering,-0.00606926400317126,0.11418468965012558
3,clustering,0.0063674139178994645,0.2773821498533976
4,clustering,-0.004397709883977295,0.22667531207959754
5,clustering,-0.008584559183032102,0.29480774411907834
6,clustering,-0.021786723706097966,0.20530404381123563
7,clustering,0.006246013026123346,0.31909272705266434
8,clustering,0.015420293216509078,0.16338393415562108
9,clustering,0.07287548171680126,0.3711354280930397
0,fixe,0.24075936359618044,0.6304076264618863
1,fixe,-0.07127799406186551,0.35475085269676976
2,fixe,0.05801838103868783,0.23994685988920147
3,fixe,-0.0634480579735555,0.3916121311604212
4,fixe,0.03240635023785298,0.16190564329887772
5,fixe,0.2188376641381844,0.6487651722327468
6,fixe,0.0844422949185758,0.43507025203701705
7,fixe,0.11145510298840562,0.3902016679888898
8,fixe,-0.026682865068442807,0.2084686293439894
9,fixe,0.09710474042060478,0.43337136011403904
0,fixe,0.24075936359618044,0.6304076264618863
