color,Amp,method,ra_in,dec_in,H0_fit,delta_H0_fit,ra_fit,dec_fit
blue,5,clustering,270.0,-29.999999999999996,70.90859165492961,4.808202466081753,-1.6450099020258868,-0.5844386634392063
blue,5,clustering,270.0,-29.999999999999996,70.84788328766837,-4.760488327404186,1.5256797980030297,0.5351562296820606
blue,5,clustering,270.0,-29.999999999999996,70.83469622346082,4.836236339742433,-1.5551676418055034,-0.5170833150031319
blue,5,clustering,270.0,-29.999999999999996,70.70064481510883,4.588140017115396,-1.5369680397689482,-0.48693400456652514
blue,5,clustering,270.0,-29.999999999999996,70.85790422001546,5.106467557191704,-1.562981632920721,-0.5282038593568215
blue,5,clustering,270.0,-29.999999999999996,70.8340814766556,5.219252868237058,-1.6391908016636925,-0.5572211321640603
blue,5,clustering,270.0,-29.999999999999996,70.87478713991197,4.790798057038872,-1.5924618190190476,-0.5079552055834261
blue,5,clustering,270.0,-29.999999999999996,71.02373945981591,-5.1529438947361745,1.5076682769455918,0.5911412268249588
blue,5,clustering,270.0,-29.999999999999996,70.96855574003729,-5.130238731397121,1.5519635367101048,0.5805778833524688
blue,5,clustering,270.0,-29.999999999999996,70.89179041068829,-4.887472748472602,1.4764488823358537,0.6123176647095048
green,5,clustering,59.99999999999999,-60.00000000000001,72.0831445560821,5.436302618534291,1.191243305210041,-1.0480051367181147
green,5,clustering,59.99999999999999,-60.00000000000001,71.92324945610474,5.113543656922833,1.1410256479611496,-1.0295845696392227
green,5,clustering,59.99999999999999,-60.00000000000001,71.88816686105366,5.048284200848289,1.030113863752494,-1.026853583383191
green,5,clustering,59.99999999999999,-60.00000000000001,71.76226974207431,4.968558239190592,1.0349603943876626,-0.9745066301920808
green,5,clustering,59.99999999999999,-60.00000000000001,71.82736014532323,5.088969620939102,1.0133159366785673,-1.0828864583015811
green,5,clustering,59.99999999999999,-60.00000000000001,72.12652249360242,5.355638408276356,1.1131756003594413,-1.1265322220146814
green,5,clustering,59.99999999999999,-60.00000000000001,71.83833532443391,5.023014900931808,1.0883475268418807,-1.0318775511609992
green,5,clustering,59.99999999999999,-60.00000000000001,72.13994964724517,5.564438769126567,1.1446320408307638,-1.1137113025562273
green,5,clustering,59.99999999999999,-60.00000000000001,72.06261616237678,5.334924334382397,1.0705986236657057,-1.0960030973418342
green,5,clustering,59.99999999999999,-60.00000000000001,72.14677496629521,5.500221184621146,1.1977647743037925,-1.0729437742805543
